review,tag
"You can't call it micro transaction if it exceeds 5 dollors. You shouldn't  have to pay to win at a game. I want to play the real dungeon keeper, were you don't have to pay more than its real price.",tag:(p2w)
"I loved this game when I had it on PC, but it's become sheer crap when ported to mobile. There are a number of things that totally lower the enjoyment a lot: constant requests to like on Facebook and make reviews, items expensive and requiring hours to make, max. 2 imps unless you spent real money to buy more,  constant and annoying requests to make purchases, et al.  As the saying goes ""Free to play, pay to win"". Oh, also forgot to mention that this is a power hog. It'll suck the life out of your battery as I was left with 15% of my battery after playing the game off and on for only an hour and a half.  Don't recommend as there is no way to get more Imps BUT to make a purchase. Luckily, I still have and installed onto my laptop Dungeon Keeper 2 and all packs/patches. Gets totally worse, though. Made an In-Game purchase of 1100 Gems (had 66+ left) and after purchasing my next Imp for 800 Gems (game didn't give me a free one until after I restarted it), I had a grand total of 106 Gems remaining. For anyone interested, do the math. I got ripped off.",tag:(p2w)
You have to pay to win. Clean it up EA,tag:(p2w)
"The PC version was great, this pay to win version is OK a best, it has potential to do better.",tag:(p2w)
This game is pay to win. do not play this game and don't give them your money,tag:(p2w)
EA is f*%king cash cow have to pay to win.,tag:(p2w)
I would pay 20 $ for a continuation of the original DK series this is a DK skinned pay to win/not wait game. But still ok so far.,tag:(p2w)
Pay to win on another level,tag:(p2w)
"It a free to play, pay to win game. The AI of the mobs is beyond horrible. Trolls and bile demons commit suicide to attack their favorite room on the far side of the map. And in the 3000+ point range, keeping resources is darn near impossible. It stopped being 'fun' a long time ago. Deleting.",tag:(p2w)
Not a bad time killer its still a little heavy on a pay to win game.,tag:(p2w)
"I used to play this game on my computer...I have heard some people complain about how its pay to win but isn't every game? I have more fun on this one than any of the other ""battle/clan""games",tag:(p2w)
"Interesting game play, and a fun follow up to a classic game. However I am not a fan of pay to win.",tag:(p2w)
Make the game cost a fee and take out the gems. The pay to win model is extremely intrusive and a horrible way to play.,tag:(p2w)
"But more fun in my opinion, needs a way to manage buildings better. Its a real pain to rearrange your dungeon. All this talk about pay to win is silly, the game throws gems at you every turn, more so than clash ever has.",tag:(p2w)
"Pay to win, otherwise you can't get anywhere, and elites trample on everyone else....",tag:(p2w)
"Buy the real one if you want to have fun, this is pay to win",tag:(p2w)
Not bad for raping my childhood and leaving me with a pay to win game.,tag:(p2w)
"I loved dungeon keeper on the PC, and this game does a fair imitation of it in a touch environment.  However the greediness of it's pay to win in app purchase system completely ruins it.  The cost of gems is ridiculously high, and if you don't have them you get to play for 5 or 10 minutes every 3 to 8 hours.  If it weren't for this pay to win system being in place this would probably be a fun game that I'd be willing to pay 20 or so dollars for up front.",tag:(p2w)
"I came in expecting to work harder to get anywhere in this game since I wasn't going to pay to win. I thought, ok these gem veins are 4h to dig. Maybe in a day or two I can afford another imp. Then I finished mining and got 3 maybe 4 gems with more then 300 to go. There is no way to play this game at all without paying for every inch of progress. How stupid does EA think we are? I have paid for cosmetic items in games I enjoy to support them, but EA is not getting a cent from me with this scam. Uninstalled!",tag:(p2w)
Would b better if it wasn't PAY TO WIN,tag:(p2w)
"Doesn't meet up to the standard of the old games. Gameplay is VERY slow and rather boring. I did the time and it takes about 2 weeks to reach ONE of the corner mines/quarries with 2 Imps (workers) honestly. I came in with good intentions and the game just feels like a pay to win, broken app.",tag:(p2w)
Free to play? What EA really means is you have to pay to play and pay to win. This game is nothing but a clever way to rob you with its microtransactions. Don't want to buy them? Then good luck doing even the most basic actions in the game. EA is nothing but a money-grubbing disgrace of a company. Totally deserving of the title of Worst Company in America.,tag:(p2w)
More micro transaction bs from ea. Gotta pay to win in this sham of a game.,tag:(p2w)
"Entertaining. Probably end up needing to pay to win eventually. Meanwhile, it will help me waste some time.",tag:(p2w)
"Big DK fan, but this game is no fun. Takes forever to do anything without buying diamonds. At least give us a $5 game that is somewhat playable, I'm soo sick of this pay to win (or do anything) crap.",tag:(p2w)
"I enjoy the humor, and the dungeon creating.  I'm a fan of the old Dungeon Keeper game, and this is reminiscent of that title.  What I don't appreciate is the heavy handed way they present the micro transactions.  I've resisted purchasing ""gems"" so far, but this is blatantly a pay to win game.  Which means at some point, I'll get frustrated with that disparity and uninstall it., or cave, and buy some. :P.    EDIT: Stars lowered until the game starts working again.",tag:(p2w)
Good if you aren't looking for something to actually kill time with.  It would be better if it wasn't so slow to load. Also it would have been better if it wasn't pay to win. I mostly blame EA.,tag:(p2w)
This game requires internet connection 100% of the time. As soon as there's even interference in my signal the game closes back to the start screen and forces me to load for 2 minutes. This is very annoying since I end up spending more time loading depending on my 3g connection. The game is a little bit pay to win and takes a long time to do things later on. Otherwise an interesting idea for a tower defense concept.,tag:(p2w)
Feels like dk. Don't like payment model. Would rather play monthly not pay to win,tag:(p2w)
This game is nothing more than a cash in on an old title.  It also follows the Pay to Win and Free to Wait mentality.,tag:(p2w)
wow talk about pay to win bullshit. I was semi-skeptical about how pay to win until I tried this game. Seriously. The first thing that it barrages you with is spend premium currency! Do it! SPEND IT!!,tag:(p2w)
"I enjoy this game as a minor distraction, but it suffers from having an end goal or any storyline.  Endless building without a way to destroy anything but walls. You are stuck with whatever decisions you make learning the game.  Not a game for those without means to pay. Free to play = pay to win.  Great animation sound runs smooth on nexus 7&5, but takes forever to load. Wish they would take engine or style of this game and make it fun.  A lot of great voicework and sound design.",tag:(p2w)
The game is fun if slow. It consistently loads in the middle of raids causing you to waste all the resources involved for no reward. Very pay to win. Tasks take forever.,tag:(p2w)
Too many micro transactions and pay to win.,tag:(p2w)
Takes a long time.... Seems pay to win,tag:(p2w)
Interesting blend of tower defense and base building. Can see it's a pay to win game. Fun though.,tag:(p2w)
"Finally one of my childhood favorites returns to the world! And on my phone no less! This game is well made, although like all other games of this era it is pay to win. But you could just wait. Excellent game! How I've missed it so.",tag:(p2w)
There are wayyyy too many aspects of the game that are pay to win,tag:(p2w)
"Great! In many aspects, and terrible in so many other. The gameplay is rich and fluid. The graphics and commentary are nice and refreshing. However, the amount of time it takes to construct something or upgrade it pushes you closer and closer to spending real money. The prices are highly unreasonable. If the pay to win factor wasn't strong enough, the disconnecting issues will put you to the brink of quitting. It's a great game, but it is very flawed. EDIT: GETTING BETTER THERE EA! KEEP IT UP!",tag:(p2w)
When it started to take 4days to construct a building I decided to quit. Its another pay to win type of game.,tag:(p2w)
So far I've only done one raid. When I saw the minions taking 23 hours to dig up jems however I started to sweat. The term free to play pay to win is a real kick in the crotch. Nevertheless I hope to revisit a game I barely played before on a friends computer when I was young but I fell in love with it instantly.,tag:(p2w)
Fun 'till it was free to play and pay to win...,tag:(p2w)
Was stoked that DK was coming to mobile platform.  Was very dissatisfied with the way they chose to setup the pay to win system.  For me this game is unplayable in its current forum.,tag:(p2w)
Sad to see the franchise finally return only to join the ranks of the pay to win/enjoy garbage.,tag:(p2w)
"I played the original Dungeon Keeper for PC. This game is a far cry from that game. It's fun to be sure, but suffers from the all too common ""pay to win"" syndrome. I see players who can easily older power me, and yet have strange stats. I know it's their money and if they want to waste it fine. Just wish it was more fair.",tag:(p2w)
Game is 100% pay to win,tag:(p2w)
How many more pay to win games do we need? I'm going back to Impire...,tag:(p2w)
"Dungeon Keeper is pretty blatently trying to compete with Clash of Clans, though the dungeon part allows for more strategy in design and the spells add more interactivity. The microtrasactions are deplorable with 4-24 hour waits for single blocks and blatent pay to win boosts including DK Premium. It insults the franchise it was given with these blatent get rich quick schemes. It's ok if you ignore that fact.",tag:(p2w)
Pay to win and nagging notifications that can't be muted,tag:(p2w)
Like most mobile games this focuses on pay to win and pay to speed up too much.  I'd much rather have some banner ads or just pay outright for the whole game. Makes me want to go play the old dungeon keeper games again.,tag:(p2w)
Enjoying but typical pay to win,tag:(p2w)
Fun in the beginning but quickly transitions into another money sink pay to win game!,tag:(p2w)
Really sad to say it as I was a HUGE fan if dungeon keeper games on the PC. This game is ok. Very slow pace with a huge defensive learning curve. The time it takes to have imps mine out a base that is actually capable of defending itself is too small vs when players can attack you. In addition gaining gems without having to buy them is insane. I have 2 imps and I've been trying to farm gems from mining for a 3rd. I still have 100 to go before I can afford a 3rd. This game defines pay to win atm.....,tag:(p2w)
"This game has caught a lot of guff because it shares a name with an old and awesome pc game of the same name, and really if you wanna compare the two, this is awful, but only because of the mobile formula (pay to win, which really in this game the prices are so astronomical that even I can't bring myself to buy anything) if you don't try and compare them, and just play this for what it is, and if you have even a shred of self discipline and patience you don't need to spend money, its a fun little game.",tag:(p2w)
"I love this game, it brings back fond memories for the classic DK games. However, it smacks of pay to win games where a fellow has to shell out half a ton of cash or snare in all his friends to get anywhere in the game at something other than a snail's pace.",tag:(p2w)
Horrible pay to win,tag:(p2w)
Looks like the original game except for the pay to win feature.,tag:(p2w)
Aside from that your standard pay to win,tag:(p2w)
"See, having to wait days for things? Sure you can raid often, that's great, but I would prefer to have more than just three imps at the point I'm at. That or I'd like multiple imps to work on one thing to cut down on time. Its frustrating the time it takes and it effectively makes it a pay to win game. If I put in the same amount of time as someone with more imps, more imps wins",tag:(p2w)
Pretty much Pay to win...,tag:(p2w)
"Pay to win/play. They totally nickel and dime you to death, they try to divert all negative feedback to some lame 3rd party site. EA had proven one again that they are all about profit and don't care about customer service or freedom of speech.",tag:(p2w)
"It is Dungeon Keeper in a way, but not the game most fans of the series wanted. Every action takes time. And you can avoid the waiting by paying real money. So it can be seen as pay to win as others who invest in it will be further along than someone who does not pay up.   Thankfully I saw a spiritual successor to Dungeon Keeper in the works called War for the Overworld on steam for those of us who prefer the old games.",tag:(p2w)
"They were truthful in saying the game isn't pay to win, but only because there doesn't seem to be any way to actually win.  Lacking the NPC heroes of previous offerings, this instead gives you other players to invade and be invaded by, a fate you can only avoid by paying the premium currency.  If you are incredibly patient, this game could be fun.",tag:(p2w)
"I used to play this game a lot. The game updates within the app instead of through the play store, which is against android design guidelines and just plain sketchy. Also, pay to win.",tag:(p2w)
"By default, this game will talk to you. As in, outside of when the game is running. This is amusing at first but when it tells you your minions are ready at 1am, it is really irritating.   Also, if you don't want to spam to the world that you are playing (aka don't sign in with your G+ account) it will irritate you with 2 and sometimes 3 options EVERY TIME you start the game. I'm seriously considering deleting this for this reason alone.  The game, while fun, is more akin to backyard monsters and it's ilk than to the orignal dungeon keeper. The voice work is lots of fun and the game play is pretty and reasonably good. I'm pretty sure this is a pay to win game but I'm having fun without spending the huge $$ right now. If I can get past the complaints above, this would be a 4 star game. As is, the waking me up and irritation upon start drop significantly.",tag:(p2w)
"The pay to play method of the game made it get boring very quickly.  Unlike most pay to win games, the grinding need to get the otherwise bought for cash currency isn't balanced enough to be enjoyable.",tag:(p2w)
It's a pretty good game I loved the original dungeon keeper on ye olde windows. The 90 dollar gems or as they put it best value is actually not the best. If you get two 40 dollar and the 10 dollar one you actually get more!! I learned this the first day I played. So not only is it pay to win they have false advertisement about the best value. Really the most expensive gems should be 10 dollars it's stupid to expect people to pay anything over 50 for a free phone game.,tag:(p2w)
"Congratulations EA. You have earned one star. Additional stars can be purchased for $5.49 each.  But seriously, this game is pay to win trash that disrespects the original Dungeon Keeper license. Avoid at all costs.",tag:(p2w)
Pay to play pay to win super micro purchasing.,tag:(p2w)
Only gives you the option to rate 5 stars within the game.  Also pay to win,tag:(p2w)
"I was excited to see Dungeon Keeper hit the smartphone scene, but less so to see the EA logo slapped on to it. Though it's great to see some familiar faces and play the role of dungeon keeper again, there are some serious short comings. The first being the pay to win strategy inherent in nearly every smartphone game. I understand ""they have to make their money"" but the pricing is ridiculous. Secondly raids and pvp are on par with what you'd find with any SNES or older tactics game. Total time sink.",tag:(p2w)
"Basically, it's a pay to win type of game... if you don't pay, then be ready to wait hours and even days to build your rooms, upgrades or even destroy blocks of dirt (specially those take the longest)",tag:(p2w)
Clearly ripped off clash of clans with just enough different content so they dont get taken to court even more emphasis on pay to win,tag:(p2w)
The in-game rating system is specifically set up so that only 5-star ratings are passed through to the play store. This blatant dishonesty should be curtailed by the app store itself and if not then by users.  The only way to play this game is similar to face book games.   In that same vane this game becomes pay to win nonsense with no appreciable advancement for days otherwise.,tag:(p2w)
"I'd read about all the controversy surrounding the app but still decided to give it a try because I love the old Dungeon Keeper games.  This game only shares a couple thematic elements with the original series, the gameplay can barely be even called ""related.""  This game is just one more cash grab that ruins an awesome ip.  It takes the Pay to Win model and turns it into a Pay to Play model, not that the former was any good to begin with.  This game could have potential but in its current state it is just garbage as doing anything fun requires you to shell out cash. It's truly sad because if this game was closer to the original Dungeon Keeper series I would happily shell out money up front to play it without all of the Pay to Win elements.  Its clear that a lot of work was put into the game; the graphics and animations are pretty awesome.  Too pad the only way to actually play the game, ie have any kind of fun, requires the purchasing of those stupid gems. What a bummer. Let me know when I can pay a couple bucks to to remove all that garbage completely.",tag:(p2w)
"Another terrible pay to win game and money grab by EA. I understand EA is running a business, but if they continue to operate without any regard for the consumer I won't be very interested in any of their products. Plenty of companies put out great products without trying to squeeze out every possible dollar and still have great profits.",tag:(p2w)
It's really too bad that EA is a part of the dirty practice of these pay to win mobile games.  It is far too expensive to be able to play this game in any reasonable sense,tag:(p2w)
"This is exactly what is wrong with mobile gaming. This ""Pay to Win"" stuff has got to stop. EA will be the worst company in America again for a 3rd year in a row.",tag:(p2w)
"Almost impossible to build without buying gems with cash, takes 4 hours to clear one block.  I'd rather buy the game then it be pay to win, or pay-to-play-today",tag:(p2w)
"EA likes releasing games with no gameplay, pay to win, play forever to accomplish nothing.  Just like the Dragon age game, this one plays bad, and wants money money money.  Very shallow.  Avoid like the plague.",tag:(p2w)
"Can be played without micro transactions but it will take time, most certainly a pay to win game",tag:(p2w)
Pay to win at its worst.  24 hours to mine one spot... Unreal.,tag:(p2w)
Another example of EA killing off a great franchise with terrible pay to win model.,tag:(p2w)
"Pay to win models seem to be all the rage, and as long as EA gets money from suckers who say ""It's not that bad of a game"" or ""Quit complaining! The game's free to download!"" they'll keep making these kinds of games. The fact that this game has so many 5-star ratings is a testament to the in-game nefarious rating ""nudge"". It urges you to rate the game 5 stars, but if you click the -other- button, which would rate it between 1-4 stars, it prompts you to email EA, rather than send you to the Play store page.  The art style is good, but since -everything- is behind a paywall, and you are playing against other people who have shelled out real money to get ahead, this game deserves zero stars if possible. I can only hope that enough people give this game a 1-star rating so the industry takes notice: this is -not- how to make an app. Even with ""casual"" gamers in mind, this is a hideous app and should be pulled from the Play store.",tag:(p2w)
Don't waste your time with this game. They have ruined dungeon keepers name by making is a pay to win game.,tag:(p2w)
"Besides the ridiculous pay to win system in this game, EA tries to trick people into not giving the game bad reviews. Shame on EA",tag:(p2w)
"Besides the filtering of any less than 5 stars because ""five stars will help get new content"" hostage scheme the game isn't even pay to win it's pay to win",tag:(p2w)
Horney is ashamed that I installed this.  Not happy with the bastartion of a classic.  Everything which made the pc game great isn't in this game.  It reminds me of all those other city games where you need to pay to win. And the redesigning of your dungeon isn't possible.,tag:(p2w)
Basically clash of clans but in a dungeon. Just the latest pay to win game.,tag:(p2w)
Pay to win garbage,tag:(p2w)
I grew up playing DK and DK II. Please don't think of this as a good game. Pickup a copy of the real game and I promise you you'll have a blast instead of this pay to win pile.,tag:(p2w)
"Takes about 10 minutes into the game before you have to wait 4 hours or more for something to happen, another cash grab game that makes you pay or only play for 5 minutes a day. The unit ai is SOOOO bad, they walk right past the main objectives on dungeon raids and walk into traps like its their job. Blow a hole in a wall with a spell and they completely ignore the shortcut, choosing instead to run into the cannon trap. 2 star game but I give it 1 because they give free gems for 5 star rating. TL;DR? Pay to win game",tag:(p2w)
Pay to win scam,tag:(p2w)
Way to turn a classic into yet another generic mobile pay to win app.   1 star for the voice over though.,tag:(p2w)
Pay to win.  Simple.,tag:(p2w)
"In yet another money grabbing attempt EA has mercilessly killed a great game.  You shell out a lot of money to have a semblance of normal gameplay. Or you can repeatedly click on resource chambers to get meager amounts of stone and gold. Any real actions and decisions will take hours or even days to complete.  EA's excuse: ""It is not pay to win. All content is available for free. You will just not get it until you turn 90""",tag:(p2w)
A terrible cash cow clicker not worth your time. The originals are way WAY better than this garbage. EA... why? To think I paid some money for the gems. This is not a faithful recreation at all. DON'T FALL FOR THE PAY TO WIN TRAP!!,tag:(p2w)
Easily worst use of a franchise in recent memory. Also one of the worst micro transactiob schemes ever. Its pay to play let alone pay to win. Free download is a trick to get you to try the game and hook you. This is micro transactions at their worst!,tag:(p2w)
Do you like to pay to win (and sometimes just to progress)? If you answered yes to the previous question this game is for you!,tag:(p2w)
Pure pay to win.. No real gameplay elements,tag:(p2w)
"But the money grab here is out of control.  This isn't pay to win, its pay to play.",tag:(p2w)
Its crap. Even if it wasn't pay to win it would still be awful.,tag:(p2w)
Terrible game. Shallow and pay to win. If you want to play for free you will literally wait days or weeks to do anything. Nowhere near as good as the original.,tag:(p2w)
Unplayable game due to reward timing loop and pay to win structure.,tag:(p2w)
"Another classic IP butchered by EA into a pay to win mess. In game ratings force you into 5 star reviews as well, really sad",tag:(p2w)
"Way to screw up a good game with pay to win style 's, sorry looks great but the factor of having to pay to do anything in any timely manner just puts me off. Instead of making garbage like this work on a real dungeon keeper 3",tag:(p2w)
It's just like the one from my childhood... Oh wait that's what I wanted. I actually got a cheap crap pay to win game that only lets you do something every hour. Why do you need access to my circle again? Why does it always have to be connected?  Way to ruin another franchise EA. I'd rather pay a few bucks up front for a good game instead of trying rip me off with micro transactions.,tag:(p2w)
"It's so disheartening seeing one of my childhood favorites ruined in this way.  The original was such a breakthrough game, to see it reduced to this pay to win, money sucking business model is a huge let-down. I installed it just to leave a review.  Will uninstall immediately, I can't bear to experience this disappointment.",tag:(p2w)
"I haven't seen anything like this in my life. EA is making a game where you have to pay to win, and on top of that they are forcing you to rate 5 stars if you use the in game popup",tag:(p2w)
"Free to play, seemingly pay to win. It has a fun concept and interesting characters but... it would take the two starter minions about eight days to dig out all the mines. And while you dig you can't do any building. Unless you buy who knows how many gems that cost real money to dig/(insert time delayed action here) almost instantly.",tag:(p2w)
MICRO TRANSACTIONS EVERYWHERE. THIS IS NOTHING LIKE THE ORIGINAL DUNGEON KEEPER. ITS ALL PAY TO WIN. DON'T WASTE YOUR TIME HERE.,tag:(p2w)
Way to take an amazing game and ruin it! Too much pay to win!,tag:(p2w)
"Besides the fact that upgrade requirements keep changing, you need to pay more than a decent console game for what a casual game has in order to just play. Shame on you EA, make DK3 instead of garbage like this! Oh, and they took out that phrase ""no pay to win in this game "" in their description, and if that doesn't raise any alarms for you newbies...",tag:(p2w)
"I'll start off with why it gets 1 star.   Always on DRM Pay to Win Rating manipulation Taking a loved franchise and turning it into a casual game  I've loved Dungeon Keeper franchise since the first one came out.  I saw this app and said to myself ""Finally, a new Dungeon Keeper.""  Instead I find a casual game that is only Dungeon Keeper in minor ways.  Then I see it's pay to win which aggravates me even further.  Finally, I try to play when I don't have a net connection and find out that I won't be playing it without one.    It's a fun little app that, in passing, resembles Dungeon Keeper of old.  If you're looking for a casual Dungeon Keeper and have some money to waste on in app purchases, this is the game for you.",tag:(p2w)
