content,score
Great game better then Clash of Clans due to the less stuff and it's fun forcing goblin slaves to do stuff.,5
Way to ruin one of the most fun and innovative games of it time. It's a Half A@$ pay to play clash of clans. I hope you realized you destroyed something beautiful!,1
So far pretty good game.,4
FANTASTIC GAME,5
Absolutely love it! I played the original PC game when I was a kid. I had high hopes for this and was not disappointed.,5
"Sad reboot. Miss Bullfrog. Scrit on the Pay to play, over priced for what you get. Going back to My 90s CD versions.",2
One of my favorite PC games available on my phone.,5
Great,5
But PvP is fun,2
"I was able to earn a 3rd builder on the second day of playing. This game has no ads, and is *actually* possible to play for free. I spent 5 bucks on it because it's a good game - not because I felt pressured to. Really good, especially from E.A. It's not the original dungeon keeper, but for what it is, it's very good.",5
Wickedly wonderfully fun!,5
Great game. Fun and moves quick,5
"Explain how ""air units"" make any damn sense in a dungeon. Let alone the fact this is clearly a clash ripoff. Yall basically just gave it a new skin. This is terrible. I hope every developer and executive gets fired and fills bags at Walmart for the rest of their lives. #uninstall #asap",1
so far so good!!! update!!! i love the game. Awesome!!!!.........!!!,4
"Game is beta quality and they have not bothered to fix even the most basic bugs or make things consistent. Last update was over a year ago. but they will change the promotions every week to get you to use up and need more resources. Expensive if you want to keep playing without resting between attacks. Basically another money hungry game that developers don't care enough about the actual game, only the money. very dissappointed. wish they had come out with DK 3 instead of this watered down app.",2
Great job,5
Love this game ..just like the older one,5
Best game,5
Awsome game,5
"My game keeps crashing, please help, I would have 5 starred you but this isn't cool. Help me please.",1
"I put $40 into starting this game, then played this game for months, once you get decently far into the game it gets super laggy when you summon monsters and there is a glitch that will not allow to smack your imps while doing door construction. The trophy system is the only thing judging who you get paired up to fight against. It is super lazy and easy to break.",1
I like the app but I had the original DK1 and. Dk2. This app is app is much more confusing than either of those. I do realize the times are different but the added functionality has taken much of the fun out of the game.,4
"Dungeon Keeper mobile is delightfully familiar and genuine to the past series titles while integrating progressive base crafting and experience leveling. Many classic minions and builds live on, with hybrid tower defense strategy involved. A passive multiplayer pvp defender as well, DK mobile is a successful addition to the previous Dungeon Keeper battle simulation versions.",5
"I loved this game on pc, the few times i have played this new version i have enjoyed it. I would rate it 5 stars except that the game will not connect to the server very often, leaving me unable to play. I made it through the tutorial which was fun but it crashed after.",3
"By Lucifer's beard, EA! What were you thinking?",2
Seems to be a nice way to spend a hr of time a day,5
Doesn't even load,1
"I was really excited to see a dungeon keeper mobile game, but am fairly disappointed. I love the PC games. This game is missing a lot of that magic. Unfortunately, this game is plagued with many of the downfalls of typical mobile games. It moves very slow, and requires you to constantly come back after an hour or two. I get on, click a couple buttons, and then get off. There's not enough engagement with the actual game for me to even remember that I have it.",3
"Overall, really nice games, although i think its a bit unfair that your dugeon gets attacked and your offline and prepared so you fail and have no notice this happend.",5
Very unfair from beginning. Been playing for 2 days and was already raided multiple times by extremely high level players. I've uninstalled the game and don't recommend it to anyone.,1
Garbage cash grab on a good game there's other games out there that capture the feel of the dungeon keeper games. Like war for the overworld.,1
"I REALLY liked the original games put out by BullFrog (R.I.P.).Have tried to get into this reworking of the fun game, it has elements that are still ok.But it really detracts from the fun when trying to find friends via Google, breaks the app. I'm going on my third time to uninstall and reinstall, and will avoid adding friends until a stable bug fix is deployed. Now it will no longer open. Tried contacting the developers, but was pointed to the community forums at EA which did not have DKforum.",1
Update or you can't compete. Its not a fair game at this point.,1
"This is still a good game. It's not the real dungeon keeper. But for mobile it's pretty good. C.o.c. lite done right.! It does take 24 hours to get a gem block, But who plays a mobile game for a day straight? Reading so many dungeons I've seen some pretty good defenses. It's not as in-depth as the real dungeon keeper but it is a good diversion.",5
Buggy sometimes,3
Smooth gameplay! Love it!,5
Cool,5
Love this game been playing for years.,5
"This is a poor CoC remake based on a once great game franchise, the game is buggy ass all hell, it has the stereo typical EA in game ""dlc"" packs and if I could rate lower I would. Tried giving it a whole hearted change hoping for the game I grew up with. I got retextured clash of clans and stolen voice files.",1
Best game ever so addictive!!!,5
Where is my dungeon gone 😭😭😭 I had everything maxxed out and now it's all gone when I went to show my friend this game I thought was really cool but 😭,1
You made me sit there for a full minute.....every time i went to do anything. *deleted*,1
"When the game forces you into a loading screen that says. Pls wait while imps get your dungeon ready. But you were in the middle of attacking some one else, and not loading into ur dungeon.",1
Excellent,5
Boring not a DK game at all,1
Love this game,5
"Much like the classic, brings back great game play.....",5
Reminds me of d&d when i was a kid,5
"There are many dead guilds, meaning inactive teams. It can be hard to find a good open one. In addition you cannot see any stats on keepers(such as their inactivity timer) until you join them, you can only apply to one at a time.the guild system is kinda broken, please make it easier to find active guilds.",4
Money grab,1
Very interesting game to play,5
i used to play the old dungeon keepers as a kid! when i found out there was a mobile version i about fainted lol. i do wish there was a function in it tho that acted alittle more like the older styles. maybe a skirmish dungeon feature?,5
Game was fun to play but unless you are willing to spend money on gems you have to wait froever for things to upgrade or to just build them,2
good gome,5
"not as good as dungeon keeper, still better than the clones, just wish the mmo would release in america",4
So challenging,5
Was fun while it worked..the whole thing crashed doesnt work anymore. Time and money lost and wated,1
Creative and easy to enjoy. Kills my time pain free.,5
Love it,5
"Really enjoyed the game, but after a recent update, i cant even get the app to open. Would have rated 1 star if i had dropped any real money on it",2
"Not as good as the original, but decent game",4
"Used to love the game, but as others have commented you hit a ceiling without buying at excessive cost enough gems to buy gold and/or stone to upgrade your dungeon beyond what is possible with the built in mines. Game is heavily weighted in favor of the attacker once he upgrades his spells...bomb wall and trap and room disable in particular. Contrary to what the game recommends, it is safer to leave your gold and stone in the mines until you can use it. Traps are costly to repair after raided",3
Pay to play,1
"Not a bad game. Although it isn't right that your being attacked by dungeons 1000s of levels above yours, and cleaning your coffers out. Can never get ahead without spending real money to by gold and stone. Make it more fair, level 17000 shouldn't be attacking level 3000 players. I'm willing to bet many players would pay for a 1 time purchase, but this constant having to buy to get ahead kills anything this game once had.",2
Attacked too often. Not fun.,3
I know you really want a dungeon game where you make your dungeon but this is not the game The greed attached to this game is beyond ridiculous,1
"A really good game. With patience, no money required.",5
Ea needs to stop,1
"I use to play a similar game on Facebook, glad I found this for my tablet",5
Waste of time,1
I'D RATE LOWER IF POSSIBLE. please note..I gave this game a solid chance. I would've paid 100 bucks or more for a great part 3 stand alone game. Microtransactions have utterly ruined this once epic franchise. Sad. .. actually.. it's heartbreaking and soul crushing what the focus on microtransactions have done to much of the industry. ... Just read this (years later now) I feel more strongly than ever. I wish I just lost interest.. but I actually feel spite towards EA. Any loyalty I had is gone.,1
"I once loved this game but at some point you hit a glass ceiling that you'll never get through without paying cash. I get raided 3 times/day and it costs 500k to reset my traps. I top out at 800k and it takes more than a day to even earn that amount. I can't leave any money in the bank or it gets stolen when I get raided, so I can't save up to upgrade any of my rooms which are all over 800k now and I can't win any more of the campaign battles. Deleting. I refuse to P2W.",1
Every game as the pay to continue to have fun wall. The game is fun till you reach that moment,3
"Zero notifications until I open it, and then I get all of them at once, and then the game immediately clears them all.",2
Loved it.. very slow progress but great blast from the past conversion,5
It's fun at first lots of options for upgrading but you hit a brick wall soon as you mine out all the squairs no portal to a new mineing area nothing. The best part of the old game was mineing with your imps n you werent limited to just a few always hunting for the unlimited gold and hopeing you didant bust into another dungon ... I mined the whole thing and have pretty much lost intrist as it's just pointless upgrading from here on out ....hopefully they will fix this and make it fun again...,3
It was horrible played for 2 weeks the pay to play players are gods flying units and wizard attack over walls. But wht do you expect its a EA,1
"Delightful reminder of the old games, except I'm not interested in PvP. Might be back when PvE provides the needed bonuses.",3
I love this game. Had the original CP game. The biggest problem is game freezes and won't load. I have to uninstall then reinstall. So far have had to do three times. Getting annoying 😡😡😡😡,3
"Cash grab, p2w, pay to not wait weeks to break a wall. EA's worst money grab that has ruined another good franchise.",1
We all need to pay cash to move forward in real time if not play at a slow slow grind to move on,1
Oldie but a goodie,4
Compared to the original PC game this one stinks. They took what was an intuitive easy to play game and turned it into an overly complicated mess. Too bad so many will never get to play the game the way it was meant to be played.,1
A fun take on the original PC game.,5
"Fun, casual...sorta...and takes forever to dig and upgrade.",2
Love it upgrade times are a little long but its good,4
Awesome,5
"Dead game, if you're new or haven't played in a long time you're screwed, basically you're gonna be attacking and be attacked by OP players who can just fly straight to your ❤️ and win, or can kill your 40 minions with 3-4 traps. After the 2nd upgrade the wait time goes from 2 hours to 12, in some cases it immediately goes from a couple of hours to a day wait, making the game pay to advance, even simple things like repairing 5 traps is insanely expensive, you have to pay over 50000 gold.",2
"Good game, when it is working .... unfortunately latest update killed it :(",1
Fun,5
It's a shame that this game does not get more attention. It's really amazing and fun with a lot of humor. Download it so that we can all play!,5
Disappointed... you turned an old pc classic into a microtransaction based slog...,1
Good. Fun does not force you in a position to spend money,4
Meh avarge clash of clans rip off,3
EA ruins everything it touches,1
Too bad this isn't the original.,2
Overall it's a poor imitation of a better game. Strictly a pay-to-play cash grab. Not particularly user friendly and glitchy like you wouldn't believe. EA really should just invest in rebooting the series as a whole.,1
"Hands Down , my Opinion , one the Best App Games Ever Created. All Time Fav of My Son and I. Playing Since the Original on PC. Jr.",5
Love old school classics,5
This is the glitchiest game I've ever played! I can't even finish a raid on a dungeon without the game throwing me back to my own dungeon a few seconds in and taking points from me because I didn't have a chance to finish. I can't upgrade anything in my dungeon because people on level 400 keep attacking my level 70 dungeon and stealing all my gold and stone. I can't even play this game! I have never had to give such a bad review for any app I've downloaded.,1
Great easy to play,5
It's good and that only,4
"Constantly restarts, can't get past the intro. On galaxy z flip.",3
"Really fun, just like old game with new things. Just no good heroes to kill, instead you fight off other players",5
"It's not too much like the original, but I like it. It still has that dark humor and the dungeon like feel to it. It can't beat the original (obviously), but for a phone version, it is pretty decent. Nice job.",3
"I thought I was jumping in to a remake of the classic game. It's another clash of clans. I also don't get how wizards can attack over the walls when they're in under ground tunnels. Graphics are good, game narrator is hilarious, but you'll never beat those who are paying to play if you try to play free.",2
A fun and addictive game,5
Fun cartoony strategy game with humor. The problem with this game is that it requires High internet speed for constant connectivity. I have a 18 megabit per second download and 2.5 megabit per second upload and if I hesitate or pop out of a screen or try to come back it will disconnect me. No other game I play has this kind of issue.,4
"Thank you. It's a very fun and fair game. Even without spending money it is very playable. I like that it I have the ability to change my dungeon how I like and that I don't have to conform to certain set templates. Overall, it's a pretty good game. Enjoy!",5
Slow tedious tutorial set the tone for the game,1
"EA F*** you, are you not satisfied with f***ing over people on pc, xbox, and Playstation? you've already lost about 5% of you're stock if not more due to pay walls on console games, we don't need nor want you f***ing up good classics like these! SO F*** OFF AND GET YOUR S*** TOGETHER!!",1
"Was just kicked from the game for telling the truth about it; that it is dominated by players who a) pay-to-win, b) have been playing it FOREEEEVER, or c) use the cheats (yes, there are cheats out there) to give themselves unlimited gold or stone. Definitely not a game for new players. I am giving up on this game altogether. A microtransaction nightmare.",1
"Its a good game, if i remember correctly. Not sure anymore, as it crashes trying to download ten updates at once right after you download the game.",1
"Almost like the old school dungeon keeper, video game still fun .",4
Dungeon keeper in name only,1
Good game,5
Would be good if it wasn't another money sink...,1
Looking for a game like this for a long time.,5
Great time consuming game.,4
One it is lagy two it is a knockoff of the dungeon series made by kalypso but it is some what enjoyable,3
"Uninstalled it after the terrible tutorial. This is a horrible cash grab and a bad version of the classic we all loved. It's plagued with play walls and gems, yuck! EA screwed another game and more gamers. What's new? And why is there a cookie agreement and terms of service after the tutorial? Just hit no and delete the game. 0/5 stars. Go play the original on PC.",1
i can't play the game beyond the tutorial,1
We want a remake the old pc game !!,2
"Not bad, but the version for the computer is better.",3
App no longer opens.. also paid to win... what a joke. DK by bullfrog was such an amazing game... way to ruin a classic.,1
"Loved it at first, but it lags and crashes so much it's hard to play sometimes and leaves me frustrated. I still like the game but it needs work with universal compatibility. I have a Samsung J7.",3
okay it's basically a tower attack and defense game that was built on the dungeon keeper games back from like 96 98 and I guess 2013 or 2015.,2
Game is currently not loading or working. Otherwise this would be 5 stars,1
Love this game.. Been playing dk since first pc game came out years ago,5
"Lovely game. I wish it wasn't so focused on PvP and provided more single-player options. The matchmaking algorithm seems to be a little unbalanced as well. Still, very enjoyable!",4
"I played this back in the 90s and was excited to see it was available on my tablet. I was tolerating how slow it was to make progress without throwing money at it until all the sudden I got error patch code 1 and nothing i did would clear the problem. I was at dungeon heart level 8 and put a lot, lot, lot of time to get there. Very disappointed. Don't waste you time",2
"Good game, reminds me of the old one but I just got were I was able to unlock the first extra gold mine and clicked on a button that said fb game invite and then the game crashed and I was not able to re open it. Re downloading now hopefully I'm not bugged out of the game",4
"Will take years to make any progress, after a few hours into it the games advancement stops unless you buy coins.",2
"Old school game, this is an intense trap game if you have the time and brain to invest into it... But if you're looking for graphics go take a picture of your mom because all Our Evils are waiting till your dad leaves😈",5
"Wow EA... Just...Wow....One massive slog or you can burn money to make this run at a playable rate.... Sure, it takes time for minions to dig out a large wall... But I can't queue up jobs. No. You click 1 by 1 per minion. Slow enough that its painful, fast enough that there's no point in closing the app and coming back later. Honestly, this is a seemingly small thing but it's enough for me. Can't plan out what to dig out and then look at something else. You need to micromanage every single cube",1
"A loyal recreation of the original, heavily reminiscent of CoC. Lack of sound controls is annoying.",4
Not very impressed so far. Thought this was a dungeon game but get wrecked by flying units and yet to unlock air defenses. Currently in Bronze I and have been attacked twice by the same guy who is in Dread 3. Didn't think that type of spread was going to happen.,2
"This game is great but my only two problems are the progression and how it doesn't entirely play like the original, like most other games like this the progression eventually gets really slow but this is a new kind of slow, even at low level it takes a long time to save up to get a new building, and my other problem is how it doesn't play like the original, with some of the mechanics taken out like rooms for the monsters or having custom building sizes. Other than those things it's a great game.",4
Good game,5
"Was a good game until a couple days ago when it refuses to open. It trys to load then it just closes, it doesnt get past the EA load screen. I better get my money back if the game isnt going to work. They dont seem to care to fix the problem, they just take your money. 5 months later and still does not open and of course didnt get my money back from in-app purchases...",1
Slap them Imps! Who doesn't love to play an Anti-Hero now and then!?,4
Really fun,4
This game should not have a microtransaction method of funding it. Full released game on PC/Consoles. I really wanted to play this game but why bother since it kept resetting my progress? Way to crash the series into the ground.,1
Awesome game. Always been a fan.,5
"So far it's ok obviously been revised since the old one , I'm still getting used to the newer version but am having fun.",3
Best strategy game Ive played,5
Id give more but app just crashes now. Fix it please,1
"great game, i really love the fighting. its fun to use my battle strategy in this game, because it actually is affective and very interesting",4
Get the real dungeon keeper on GOG with no microtransactions...,1
It's nothing close to what I've come to know and love about this franchise :`[,1
Packers game for the PC,5
First Day Playing And So Far I'm Like It A Lot,4
"Game is funnier than hell. All the sarcastic things the Crypt Keeper says. The watching grass grow pace, well I was hooked. Can't tell you how many times I played it. You ever watch a stupid movie and crack up the whole time? This is one of those. Well good luck on it, kick back n get a chuckle.",4
Pretty lit so far,3
"I would really like to play this game, it seems like a lot of fun, but the connection is so unstable I get disconnected every 10 seconds and I dont have that issue on any other game on my phone, so yeah, bummer",2
Very micro pay dependent.,4
Berry neat,4
Best game ever,5
Exactly like I remember. Lots of problem solving,5
Right now it's not working and I did everything I could to git it dack up,3
So much fun while in quarantine thanks Lot I use to love the PC version,5
Love it. Very much like the old PC game. Nicely done.,5
It's a dungeon clone,1
Great game... if server connections were stable enough to play it.,1
Very fun,5
"Would have been a really great game probably even a 5 star if it weren't for the fact that they insisted on making it PVP, Like so many phone games insist on adding PVP to the game which I can't stand. Would have been nice to have the option to opt out of PVP.",1
"Still Wont let me open the app, just sit on a screen that never does anything",5
"Game was good in the beginning but, once you make gold level anyone can attack you regardless of their level. So your 24th level getting attacked ""randomly"" by people 4 times your ranking.",3
Best strategy out there !,5
I love this game 😊,5
Unexpectedly Fun,4
I've been looking for a game that was like Facebook's Backyard Monsters for years cuz it won't run on a phone. This game should show up in search results for that. Completely different but the closest thing I found awesome game,5
Don't waste your time with this travesty of a game. Once you are finished with the tutorial you'll need to drop an ass load of cash to play. Unless you don't mind taking more then a day to have an imp dig ONE square!,1
I like the game but hate the fact that theres no way to turn off the music and sound effects like the voice. At least I cant find one and I've been looking. You cant even move the screen around without the voice making fun of you.,3
New update is awesome,5
Almost as good as the original game!,5
"I cant wait for this company to collapse under its own weight. The shills out there may praise this game, bc thats pretty much ALL they do. Mindless drones that care more about flash and shine than any degree of substance. This game is a disgusting cash grab, and thats actually putting it lightly. We were supposed to see a Dungeon Keeper 3, but instead we got...this. A barely playable game. Heres some news to shills that defend insanely long wait times: Games are mean to actually be played!!",1
If it werent pay to win this would be a great game. But i cant compete in that market so im out,3
"Seems fun, but it randomly forgot my upgrades but still charged me to do them twice in a row. At that point I dropped the game. Fun for a day or two, but I dont want to be doing the same unlocking missions over and over while losing my progress.",2
Not bad game. Sound is very chopy. But fun. Occasionally disconnects from the server. Just redownloaded... Crashed 4x in less minutes...,1
not an exact duplicate of the original. still dig it,4
"Just started, so far pretty good",3
I missed this game! So happy to be playing again,5
"Kinda corny at times, but a very fun to play game. Glad I found this one.",4
"it takes me back to the old pc games and for a free app it does deserve 5, i do wish i could make my god dungeons like in the pc with all. the fun. of sacrifice and torture but i will submit to the rating gods on that.....unless its added by paid content then it is now age verified =) as of months ago no longer works... hoped for a fix they never responded to email.",1
Loved it on the PC,5
Keeps shutting down. Won't load. Won't go past first Mystic screen.,1
"This game was great for pc, currently downloading now, will post more soon",5
Kills time well,5
Game wont open. Insta crashing. Too many people saying tbe same thing in a game with in game purchases for the devs to be ignoring this for this long....,1
Not exactly the pc game(odviously) but still good. Even though there are in app purchases you can still play without having to use them. For me that is a huge plus!!,5
Best,5
"Great game, loads of fun. My only complaint is the game doesnt direct you to the campaign. It took me awhile before i realized it was a thing.",5
You all ruined a fantastic game serious by doing what you did here and it pains me to think that you all buried this as it's last moment before it died,1
Very cartoony and not true to the original. Not sure if im going to continue playing.,1
"This was my absolute favorite computer game ever made in all I'm so excited that it didn't get forgotten!! Thank you for bringing this game back from the depths !! Wicked as it always was , I'm hoping you can still cast a possession spell to walk & battle through the dungeons like the original computer game!! Very nice graphics on this too!! Will it have the casino with disco inferno sound track , ohhh!! Possessed.. please, say yes!!😈😘I love this game!!",5
JoJo reference,5
Used to love DK on PC loving the app as well,5
It keeps on crashing,2
I have bad news and good news a good news is I have a good traps but the bad news is there are very strong players and very tougher traps they have 😬😬😬,5
Build times could be shorter. Fun overall.,4
"I was enjoying the game, however as of 9:00am 3/5/2020 my game doesnt open anymore. It just keeps closing right away. I tried restarting my phone and clearing the app cache, I cant figure out what happened.",1
"I love the game, it has connection problem's but otherwise a good game, I rated it a two out of five, because I just went through and did a huge remodel on my dungeon, to then get attacked, and load back in, to see my dungeon was reset to what it was before I changed anything...",2
This game isnt anything spectacurily original but its defintely a fun one with some nice graphics and a good sense of humor,4
"Crashes constantly, cant connect to servers",1
Disgusting EA practices. Cant progress unless you pay. Hope they go bankrupt.,1
3 words. Pay to win,1
Can not load the game since last update.,1
It gets harder but you get to have a brake after you been raided once not 12 times a day,5
I used to play the originals back on the PC back n the day lol,5
I wish you gained power faster.,4
Good game hard to put down,5
"So, this seems to be the only place i can actually type and have someone else read it. as the forums don't get any response and the website tells you to go to the forums. I have been trying to contact people since before december. i bought 2 different gems packages and received neither of them nor the promised free imp with first gem purchase. please someone get back to me that can help.",3
Love the game since DK 1.,5
Im Goddd,5
Fun game.,4
I played this game as a teen on PC. I think it's great that it's back ....now only 3* because of the extreme time windows .....such long wait. Cool little animations and fun battle game,3
I love this game though it is dificult later on and I know I misspelled the 7th word I'm tired cut me some slack,5
Classic game loved it then love it now but.... they need to look into there loading.... kills the mood....,4
Interesting,4
Decent mobile game by itself w/out comparing it to its far better PC predecessor. Time periods to accomplish things suck like most mobile games but is fun to play,4
"I tried this game a few years ago when it first came out, wasn't impressed back then. Been playing a couple of weeks now and I've got to say it has improved a great deal. Great job.",5
"This game is a cash grab! Real time waits (up to 24 hours) for some tasks...unless you want to pay real money! Do not waste your time with this one, it sucks!",1
Won't launch,1
"So far so good,",5
Cash grab,1
Needs more minions. Otherwise great game.,4
Awsome,5
Fun game! Just wish regen times were shorter! Still a fun game with lots of upgrades 4 years later!,4
It would be allot better if this could be played offline also. Connection issues make it unplayable. But otherwise it's okay accept for all the attempts to get you to spend money.,3
Cant turn the sound off. Cant actually customize much. Nothing really unique about the game.,1
It's really fun easy to play but the PC version is so much better it's still really fun,4
"This is a fortress building game where you can pit your own strategies against others. Also, in-app purchases exist, but not essential to have fun... That's getting more and more rare nowadays. Awesome game =D",5
"Great tutorial. Easy to learn, lots of fun to play. Recommended.",4
Interesting game play and lay out.,4
"It's a great game, but the matchups suck. It kind of ruins the game when you are to protect your dungeon from players that are of a way higher level and when you have to attack much higher level players.",3
Awsomeness!!! Played this game since I was 10 on pc.,5
It's just doesn't compete with the original pc version.,2
Super fun game!!,5
Reminds me of the older computer version of this classic game!!!,4
"From what I can see, this is the most in-depth tutorial I've ever seen in a game that actually teaches you. They make sure that even kids know how to play, and there are subtle adult jokes everywhere fitting with the theme. Probably my favorite game for tutorial characters as well, considering how it plays out. Simple, easy, quick, but also informative!",5
It ok slow,3
"So much money needed to play. Now that I've played it a little longer, it's downright awful.",1
It's clash of clans,1
"Designed to be a money sink, not a good game.",1
Won't load anymore. I want a refund for all the money I spent on this game. NOW.,1
The game doesnt even open. Its trash,1
"I prefer the original, but this is a better option than digging out a Pentium 3.",4
DUNGEON KEEPERS GOLD GOBLINS MORE GOLD UNLIMITED FUN,5
